Name,URL,Price,Rating
"Dell Inspiron 15 5000 Laptop, 15.6-Inch FHD (1920 X 1080) IPS, Intel i7-8565, Nvidia(R) Geforce(R) MX250 with 2GB Gddr, 8GB DDR4 RAM, 128 GB SSD+1TB HD",/Dell-Inspiron-15-6-Inch-i7-8565-Geforce/dp/B07PZQ9LSN/ref=sr_1_40?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-40,"797
.",4.0 out of 5 stars
"Dell Inspiron 13.3"" 2 in 1 Full HD IPS Touchscreen Business Laptop/tablet, Intel Quad-Core i7-8550U 16GB DDR4 256GB SSD MaxxAudio Backlit Keyboard 802.11ac Bluetooth HDMI Webcam Win 10",/Dell-Inspiron-Touchscreen-Quad-Core-MaxxAudio/dp/B0798WWF9M/ref=sr_1_41?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-41,"797
.",
45W 19.5V 2.31A AC Adapter Laptop Charger for Dell Inspiron 14 15-3552 7348 HK45NM140 LA45NM140 Series Dell XPS 11 12 13 Latitude 12 13 14 7202 3379 7350 E5450 Vostro 14 15 3459 3559,/Adapter-Inspiron-HK45NM140-LA45NM140-Latitude/dp/B0776PP8Q2/ref=sr_1_42?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-42,"12
.",
"Premium Dell Latitude E7440 Ultrabook 14 Inch HD Business Laptop (Intel Core i5-4310U up to 3.0GHz, 8GB DDR3 RAM, 256GB SSD USB, HDMI, Windows 10 Pro) (Renewed)",/Dell-Latitude-Ultrabook-Business-i5-4310U/dp/B07SQK4P2N/ref=sr_1_45?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-45,"354
.",
"65W Type-C Charger Laptop Power Cord Fit for Dell Latitude 12 5285 5289 5290 7212 7275 7285 7290, XPS 13 9350 9360 9365 9370",/Type-C-Charger-Laptop-Power-Latitude/dp/B07PFD5ZVS/ref=sr_1_46?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-46,"28
.",
"New Genuine OEM Original Dell 65W 4.5mm Tip Replacement AC adapter for Dell Inspiron 5551, Inspiron 5555, Inspiron 5558, Inspiron 5755, Inspiron 5758, Inspiron 7348, Inspiron 7558.",/Genuine-Original-Replacement-adapter-Inspiron/dp/B0798SCGQJ/ref=sr_1_47?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-47,"18
.",4.2 out of 5 stars
"Dell Touchscreen 2-in-1 Inspiron 5000 Backlit Keyboard 13.3 inch Full HD Laptop PC, Intel Core i7-8550U Quad-Core, 8GB DDR4, 256GB SSD, WIFI, Media Card Reader, Windows 10",/Dell-Inspiron-Touchscreen-Keyboard-Quad-Core/dp/B077XX31VL/ref=sr_1_48?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-48,"708
.",
"45W 19.5V 2.31A AC Adapter Laptop Charger Replacement For Dell Inspiron 15-5000 5551 5555 5558 7558 7595,13-7000 7378 7352 7348,11-3000 15-3000 15-7000 13-5000 17-5000 17-7000 Series power supply cord",/Adapter-Charger-Replacement-Inspiron-15-5000/dp/B07JCXJWPL/ref=sr_1_49?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-49,"16
.",
"Dell Inspiron 2-in-1 Laptop LED-Backlit Touch Display, i7-8565U, 8GB 2666MHz DDR4, 256 GB m.2 PCIe SSD, 14"", Silver, Alexa Built-In (i5482-7069SLV-PUS)",/Dell-Inspiron-LED-Backlit-i7-8565U-i5482-7069SLV-PUS/dp/B07JXTFJVB/ref=sr_1_50?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-50,"768
.",
"2018 Dell Business Flagship Laptop Notebook 15.6"" HD LED-Backlit Display Intel i5-7200U Processor 8GB DDR4 RAM 256GB SSD DVD-RW HDMI Webcam Bluetooth Windows 10 Pro-Black",/Dell-LED-Backlit-Processor-Bluetooth-Pro-Black/dp/B078JXMS8W/ref=sr_1_51?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-51,"610
.",
